ExpId: ingmar
StartTime: 1431368261013
EndTime: 1431368321077
DataLength: 213
SaveLocation: ./_data/arduino/ingmar
SaveName: ingmar_1431368261013.txt

timestamp	time	led1	led2	led3	led4
1431368261013	0	0	0	0	0
1431368270652	9639	7	3	0	0
1431368270934	9921	7	7	0	0
1431368270951	9938	7	14	0	0
1431368270969	9956	7	25	0	0
1431368270986	9973	7	35	0	0
1431368271003	9990	7	45	0	0
1431368271019	10006	7	56	0	0
1431368271035	10022	7	71	0	0
1431368271056	10043	7	79	0	0
1431368271074	10061	7	84	0	0
1431368271090	10077	7	97	0	0
1431368271105	10092	7	102	0	0
1431368271122	10109	7	109	0	0
1431368271138	10125	7	117	0	0
1431368271155	10142	7	125	0	0
1431368271173	10160	7	130	0	0
1431368271190	10177	7	135	0	0
1431368271207	10194	7	138	0	0
1431368271225	10212	7	143	0	0
1431368271242	10229	7	145	0	0
1431368271259	10246	7	153	0	0
1431368271277	10264	7	155	0	0
1431368271293	10280	7	160	0	0
1431368271312	10299	7	163	0	0
1431368271328	10315	7	166	0	0
1431368271374	10361	7	171	0	0
1431368271438	10425	7	171	0	0
1431368271473	10460	7	173	0	0
1431368271533	10520	7	176	0	0
1431368271566	10553	7	181	0	0
1431368271590	10577	7	181	0	0
1431368271614	10601	7	183	0	0
1431368271646	10633	4	184	0	0
1431368272820	11807	4	181	0	0
1431368272844	11831	4	176	0	0
1431368272862	11849	4	173	0	0
1431368272886	11873	4	171	0	0
1431368272941	11928	4	171	0	0
1431368272967	11954	4	166	0	0
1431368272984	11971	4	163	0	0
1431368273002	11989	4	161	0	0
1431368273017	12004	4	156	0	0
1431368273035	12022	4	148	0	0
1431368273052	12039	4	145	0	0
1431368273069	12056	4	143	0	0
1431368273087	12074	4	138	0	0
1431368273369	12356	4	135	0	0
1431368273446	12433	4	135	0	0
1431368274916	13903	4	138	0	0
1431368274990	13977	4	138	0	0
1431368276442	15429	4	143	0	0
1431368276464	15451	4	145	0	0
1431368276497	15484	4	148	0	0
1431368276528	15515	4	153	0	0
1431368276607	15594	4	153	0	0
1431368276655	15642	4	156	0	0
1431368276735	15722	4	161	0	0
1431368277858	16845	4	161	0	0
1431368277874	16861	4	163	0	0
1431368277911	16898	4	166	0	0
1431368278001	16988	4	171	0	0
1431368296316	35303	4	166	0	0
1431368296341	35328	4	163	0	0
1431368296364	35351	4	161	0	0
1431368296390	35377	4	161	0	0
1431368296453	35440	4	156	0	0
1431368296491	35478	4	153	0	0
1431368296548	35535	4	153	0	0
1431368299618	38605	11	153	0	0
1431368299635	38622	14	152	0	0
1431368299653	38640	25	148	0	0
1431368299669	38656	29	143	0	0
1431368299687	38674	28	137	0	0
1431368299705	38692	32	139	0	0
1431368299721	38708	36	136	0	0
1431368299738	38725	39	135	0	0
1431368299755	38742	39	132	0	0
1431368299773	38760	39	132	0	0
1431368299791	38778	43	128	0	0
1431368299824	38811	50	128	0	0
1431368299829	38816	56	123	0	0
1431368299842	38829	60	124	0	0
1431368299860	38847	64	125	0	0
1431368299877	38864	64	125	0	0
1431368299896	38883	67	123	0	0
1431368299911	38898	67	120	0	0
1431368299928	38915	71	121	0	0
1431368299946	38933	74	116	0	0
1431368299963	38950	78	110	0	0
1431368299980	38967	84	109	0	0
1431368299996	38983	88	109	0	0
1431368300013	39000	92	109	0	0
1431368300045	39032	95	110	0	0
1431368300061	39048	99	110	0	0
1431368300079	39066	103	110	0	0
1431368300096	39083	106	106	0	0
1431368300112	39099	110	106	0	0
1431368300130	39117	113	106	0	0
1431368300147	39134	117	103	0	0
1431368300165	39152	120	103	0	0
1431368300181	39168	124	102	0	0
1431368300213	39200	124	102	0	0
1431368300229	39216	123	99	0	0
1431368300261	39248	129	96	0	0
1431368300284	39271	131	92	0	0
1431368300303	39290	135	92	0	0
1431368300320	39307	134	88	0	0
1431368300336	39323	142	85	0	0
1431368300365	39352	141	81	0	0
1431368300421	39408	146	78	0	0
1431368300445	39432	146	78	0	0
1431368300468	39455	145	74	0	0
1431368300486	39473	148	74	0	0
1431368300504	39491	150	71	0	0
1431368300524	39511	149	67	0	0
